	X.X	Y.Y
('C-214535_BALBc-1_X01_Y01_638_496', 'Cell Type: erythroblasts')	638	1504
('C-214597_BALBc-1_X01_Y01_644_156', 'Cell Type: erythroblasts')	644	1844
('C-214615_BALBc-1_X01_Y01_645_629', 'Cell Type: erythroblasts')	645	1371
('C-214620_BALBc-1_X01_Y01_646_143', 'Cell Type: erythroblasts')	646	1857
('C-214687_BALBc-1_X01_Y01_651_755', 'Cell Type: erythroblasts')	651	1245
('C-214792_BALBc-1_X01_Y01_663_624', 'Cell Type: erythroblasts')	663	1376
('C-214836_BALBc-1_X01_Y01_667_560', 'Cell Type: erythroblasts')	667	1440
('C-214840_BALBc-1_X01_Y01_668_206', 'Cell Type: erythroblasts')	668	1794
('C-214930_BALBc-1_X01_Y01_675_736', 'Cell Type: erythroblasts')	675	1264
('C-214935_BALBc-1_X01_Y01_676_584', 'Cell Type: erythroblasts')	676	1416
('C-214949_BALBc-1_X01_Y01_678_179', 'Cell Type: erythroblasts')	678	1821
('C-214998_BALBc-1_X01_Y01_683_159', 'Cell Type: erythroblasts')	683	1841
('C-215027_BALBc-1_X01_Y01_686_621', 'Cell Type: erythroblasts')	686	1379
('C-215029_BALBc-1_X01_Y01_686_793', 'Cell Type: erythroblasts')	686	1207
('C-215055_BALBc-1_X01_Y01_689_845', 'Cell Type: erythroblasts')	689	1155
('C-215264_BALBc-1_X01_Y01_71_745', 'Cell Type: erythroblasts')	71	1255
('C-215288_BALBc-1_X01_Y01_711_576', 'Cell Type: erythroblasts')	711	1424
('C-215291_BALBc-1_X01_Y01_711_650', 'Cell Type: erythroblasts')	711	1350
('C-215310_BALBc-1_X01_Y01_713_603', 'Cell Type: erythroblasts')	713	1397
('C-215587_BALBc-1_X01_Y01_74_481', 'Cell Type: erythroblasts')	74	1519
('C-215944_BALBc-1_X01_Y01_775_500', 'Cell Type: erythroblasts')	775	1500
('C-215977_BALBc-1_X01_Y01_779_247', 'Cell Type: erythroblasts')	779	1753
('C-216020_BALBc-1_X01_Y01_782_152', 'Cell Type: erythroblasts')	782	1848
('C-216058_BALBc-1_X01_Y01_785_474', 'Cell Type: erythroblasts')	785	1526
('C-216141_BALBc-1_X01_Y01_793_414', 'Cell Type: erythroblasts')	793	1586
('C-216146_BALBc-1_X01_Y01_793_990', 'Cell Type: erythroblasts')	793	1010
('C-216332_BALBc-1_X01_Y01_812_452', 'Cell Type: erythroblasts')	812	1548
('C-216475_BALBc-1_X01_Y01_826_487', 'Cell Type: erythroblasts')	826	1513
('C-216610_BALBc-1_X01_Y01_84_832', 'Cell Type: erythroblasts')	84	1168
('C-216644_BALBc-1_X01_Y01_843_42', 'Cell Type: erythroblasts')	843	1958
('C-216681_BALBc-1_X01_Y01_847_698', 'Cell Type: erythroblasts')	847	1302
('C-216738_BALBc-1_X01_Y01_853_163', 'Cell Type: erythroblasts')	853	1837
('C-216899_BALBc-1_X01_Y01_869_211', 'Cell Type: erythroblasts')	869	1789
('C-217054_BALBc-1_X01_Y01_885_7', 'Cell Type: erythroblasts')	885	1993
('C-217086_BALBc-1_X01_Y01_889_460', 'Cell Type: erythroblasts')	889	1540
('C-217279_BALBc-1_X01_Y01_907_650', 'Cell Type: erythroblasts')	907	1350
('C-217294_BALBc-1_X01_Y01_909_118', 'Cell Type: erythroblasts')	909	1882
('C-217382_BALBc-1_X01_Y01_917_602', 'Cell Type: erythroblasts')	917	1398
('C-217384_BALBc-1_X01_Y01_917_787', 'Cell Type: erythroblasts')	917	1213
('C-217559_BALBc-1_X01_Y01_936_703', 'Cell Type: erythroblasts')	936	1297
('C-217823_BALBc-1_X01_Y01_962_824', 'Cell Type: erythroblasts')	962	1176
('C-217873_BALBc-1_X01_Y01_967_744', 'Cell Type: erythroblasts')	967	1256
('C-218064_BALBc-1_X01_Y01_987_868', 'Cell Type: erythroblasts')	987	1132
('C-218183_BALBc-1_X01_Y01_999_323', 'Cell Type: erythroblasts')	999	1677
('C-218230_BALBc-1_X01_Y01_1000_639', 'Cell Type: F4/80(+) mphs')	1000	1361
('C-218488_BALBc-1_X01_Y01_1014_458', 'Cell Type: F4/80(+) mphs')	1014	1542
('C-218564_BALBc-1_X01_Y01_1018_386', 'Cell Type: F4/80(+) mphs')	1018	1614
('C-218609_BALBc-1_X01_Y01_1020_778', 'Cell Type: F4/80(+) mphs')	1020	1222
('C-218709_BALBc-1_X01_Y01_1026_732', 'Cell Type: F4/80(+) mphs')	1026	1268
('C-219154_BALBc-1_X01_Y01_1052_505', 'Cell Type: F4/80(+) mphs')	1052	1495
('C-219222_BALBc-1_X01_Y01_1056_37', 'Cell Type: F4/80(+) mphs')	1056	1963
('C-219273_BALBc-1_X01_Y01_106_309', 'Cell Type: F4/80(+) mphs')	106	1691
('C-219324_BALBc-1_X01_Y01_1062_625', 'Cell Type: F4/80(+) mphs')	1062	1375
('C-219559_BALBc-1_X01_Y01_1076_335', 'Cell Type: F4/80(+) mphs')	1076	1665
('C-219660_BALBc-1_X01_Y01_1081_682', 'Cell Type: F4/80(+) mphs')	1081	1318
('C-219772_BALBc-1_X01_Y01_1088_217', 'Cell Type: F4/80(+) mphs')	1088	1783
('C-219820_BALBc-1_X01_Y01_109_790', 'Cell Type: F4/80(+) mphs')	109	1210
('C-219964_BALBc-1_X01_Y01_1098_924', 'Cell Type: F4/80(+) mphs')	1098	1076
('C-220058_BALBc-1_X01_Y01_1103_375', 'Cell Type: F4/80(+) mphs')	1103	1625
('C-220118_BALBc-1_X01_Y01_1107_570', 'Cell Type: F4/80(+) mphs')	1107	1430
('C-220431_BALBc-1_X01_Y01_1125_612', 'Cell Type: F4/80(+) mphs')	1125	1388
('C-220509_BALBc-1_X01_Y01_113_455', 'Cell Type: F4/80(+) mphs')	113	1545
('C-220601_BALBc-1_X01_Y01_1135_611', 'Cell Type: F4/80(+) mphs')	1135	1389
('C-220696_BALBc-1_X01_Y01_1141_572', 'Cell Type: F4/80(+) mphs')	1141	1428
('C-220875_BALBc-1_X01_Y01_1151_729', 'Cell Type: F4/80(+) mphs')	1151	1271
('C-221070_BALBc-1_X01_Y01_1162_673', 'Cell Type: F4/80(+) mphs')	1162	1327
('C-221104_BALBc-1_X01_Y01_1165_103', 'Cell Type: F4/80(+) mphs')	1165	1897
('C-221233_BALBc-1_X01_Y01_1172_599', 'Cell Type: F4/80(+) mphs')	1172	1401
('C-221290_BALBc-1_X01_Y01_1176_253', 'Cell Type: F4/80(+) mphs')	1176	1747
('C-221323_BALBc-1_X01_Y01_1178_510', 'Cell Type: F4/80(+) mphs')	1178	1490
('C-221851_BALBc-1_X01_Y01_1209_543', 'Cell Type: F4/80(+) mphs')	1209	1457
('C-221858_BALBc-1_X01_Y01_1209_806', 'Cell Type: F4/80(+) mphs')	1209	1194
('C-221984_BALBc-1_X01_Y01_1217_251', 'Cell Type: F4/80(+) mphs')	1217	1749
('C-222012_BALBc-1_X01_Y01_1219_16', 'Cell Type: F4/80(+) mphs')	1219	1984
('C-222238_BALBc-1_X01_Y01_1231_527', 'Cell Type: F4/80(+) mphs')	1231	1473
('C-222257_BALBc-1_X01_Y01_1232_992', 'Cell Type: F4/80(+) mphs')	1232	1008
('C-222420_BALBc-1_X01_Y01_1242_532', 'Cell Type: F4/80(+) mphs')	1242	1468
('C-222444_BALBc-1_X01_Y01_1244_232', 'Cell Type: F4/80(+) mphs')	1244	1768
('C-222577_BALBc-1_X01_Y01_1252_910', 'Cell Type: F4/80(+) mphs')	1252	1090
('C-222669_BALBc-1_X01_Y01_1259_349', 'Cell Type: F4/80(+) mphs')	1259	1651
('C-222678_BALBc-1_X01_Y01_1259_70', 'Cell Type: F4/80(+) mphs')	1259	1930
('C-222699_BALBc-1_X01_Y01_1260_170', 'Cell Type: F4/80(+) mphs')	1260	1830
('C-222763_BALBc-1_X01_Y01_1264_5', 'Cell Type: F4/80(+) mphs')	1264	1995
('C-222951_BALBc-1_X01_Y01_1276_397', 'Cell Type: F4/80(+) mphs')	1276	1603
('C-223054_BALBc-1_X01_Y01_1281_789', 'Cell Type: F4/80(+) mphs')	1281	1211
('C-223153_BALBc-1_X01_Y01_1289_458', 'Cell Type: F4/80(+) mphs')	1289	1542
('C-223275_BALBc-1_X01_Y01_1296_833', 'Cell Type: F4/80(+) mphs')	1296	1167
('C-223279_BALBc-1_X01_Y01_1297_241', 'Cell Type: F4/80(+) mphs')	1297	1759
('C-223293_BALBc-1_X01_Y01_1297_936', 'Cell Type: F4/80(+) mphs')	1297	1064
('C-223311_BALBc-1_X01_Y01_1299_287', 'Cell Type: F4/80(+) mphs')	1299	1713
('C-223441_BALBc-1_X01_Y01_1304_553', 'Cell Type: F4/80(+) mphs')	1304	1447
('C-223543_BALBc-1_X01_Y01_1310_502', 'Cell Type: F4/80(+) mphs')	1310	1498
('C-223593_BALBc-1_X01_Y01_1313_692', 'Cell Type: F4/80(+) mphs')	1313	1308
('C-223638_BALBc-1_X01_Y01_1316_991', 'Cell Type: F4/80(+) mphs')	1316	1009
('C-223709_BALBc-1_X01_Y01_1321_147', 'Cell Type: F4/80(+) mphs')	1321	1853
('C-223732_BALBc-1_X01_Y01_1322_290', 'Cell Type: F4/80(+) mphs')	1322	1710
('C-223747_BALBc-1_X01_Y01_1322_979', 'Cell Type: F4/80(+) mphs')	1322	1021
('C-224017_BALBc-1_X01_Y01_1339_47', 'Cell Type: F4/80(+) mphs')	1339	1953
('C-224071_BALBc-1_X01_Y01_136_894', 'Cell Type: F4/80(+) mphs')	136	1106
('C-224219_BALBc-1_X01_Y01_145_777', 'Cell Type: F4/80(+) mphs')	145	1223
('C-224236_BALBc-1_X01_Y01_147_298', 'Cell Type: F4/80(+) mphs')	147	1702
('C-224299_BALBc-1_X01_Y01_150_974', 'Cell Type: F4/80(+) mphs')	150	1026
('C-224393_BALBc-1_X01_Y01_157_330', 'Cell Type: F4/80(+) mphs')	157	1670
('C-224462_BALBc-1_X01_Y01_160_229', 'Cell Type: F4/80(+) mphs')	160	1771
('C-224511_BALBc-1_X01_Y01_163_572', 'Cell Type: F4/80(+) mphs')	163	1428
('C-224527_BALBc-1_X01_Y01_164_440', 'Cell Type: F4/80(+) mphs')	164	1560
('C-224547_BALBc-1_X01_Y01_165_666', 'Cell Type: F4/80(+) mphs')	165	1334
('C-224555_BALBc-1_X01_Y01_166_139', 'Cell Type: F4/80(+) mphs')	166	1861
('C-224681_BALBc-1_X01_Y01_173_158', 'Cell Type: F4/80(+) mphs')	173	1842
('C-224689_BALBc-1_X01_Y01_173_707', 'Cell Type: F4/80(+) mphs')	173	1293
('C-224755_BALBc-1_X01_Y01_177_669', 'Cell Type: F4/80(+) mphs')	177	1331
('C-224840_BALBc-1_X01_Y01_181_617', 'Cell Type: F4/80(+) mphs')	181	1383
('C-224847_BALBc-1_X01_Y01_182_298', 'Cell Type: F4/80(+) mphs')	182	1702
('C-224970_BALBc-1_X01_Y01_189_670', 'Cell Type: F4/80(+) mphs')	189	1330
('C-225076_BALBc-1_X01_Y01_195_418', 'Cell Type: F4/80(+) mphs')	195	1582
('C-225086_BALBc-1_X01_Y01_196_108', 'Cell Type: F4/80(+) mphs')	196	1892
('C-225113_BALBc-1_X01_Y01_197_546', 'Cell Type: F4/80(+) mphs')	197	1454
('C-225131_BALBc-1_X01_Y01_199_27', 'Cell Type: F4/80(+) mphs')	199	1973
('C-225157_BALBc-1_X01_Y01_20_538', 'Cell Type: F4/80(+) mphs')	20	1462
('C-225311_BALBc-1_X01_Y01_209_16', 'Cell Type: F4/80(+) mphs')	209	1984
('C-225418_BALBc-1_X01_Y01_214_505', 'Cell Type: F4/80(+) mphs')	214	1495
('C-225760_BALBc-1_X01_Y01_233_419', 'Cell Type: F4/80(+) mphs')	233	1581
('C-225767_BALBc-1_X01_Y01_234_173', 'Cell Type: F4/80(+) mphs')	234	1827
('C-225803_BALBc-1_X01_Y01_236_321', 'Cell Type: F4/80(+) mphs')	236	1679
('C-225899_BALBc-1_X01_Y01_241_866', 'Cell Type: F4/80(+) mphs')	241	1134
('C-225910_BALBc-1_X01_Y01_242_657', 'Cell Type: F4/80(+) mphs')	242	1343
('C-226077_BALBc-1_X01_Y01_251_541', 'Cell Type: F4/80(+) mphs')	251	1459
('C-226216_BALBc-1_X01_Y01_26_243', 'Cell Type: F4/80(+) mphs')	26	1757
('C-226431_BALBc-1_X01_Y01_271_398', 'Cell Type: F4/80(+) mphs')	271	1602
('C-226505_BALBc-1_X01_Y01_275_731', 'Cell Type: F4/80(+) mphs')	275	1269
('C-226538_BALBc-1_X01_Y01_277_972', 'Cell Type: F4/80(+) mphs')	277	1028
('C-226706_BALBc-1_X01_Y01_287_752', 'Cell Type: F4/80(+) mphs')	287	1248
('C-226856_BALBc-1_X01_Y01_295_763', 'Cell Type: F4/80(+) mphs')	295	1237
('C-227015_BALBc-1_X01_Y01_304_613', 'Cell Type: F4/80(+) mphs')	304	1387
('C-227071_BALBc-1_X01_Y01_308_598', 'Cell Type: F4/80(+) mphs')	308	1402
('C-227096_BALBc-1_X01_Y01_31_807', 'Cell Type: F4/80(+) mphs')	31	1193
('C-227274_BALBc-1_X01_Y01_321_732', 'Cell Type: F4/80(+) mphs')	321	1268
('C-227307_BALBc-1_X01_Y01_323_658', 'Cell Type: F4/80(+) mphs')	323	1342
('C-227319_BALBc-1_X01_Y01_324_491', 'Cell Type: F4/80(+) mphs')	324	1509
('C-227506_BALBc-1_X01_Y01_333_624', 'Cell Type: F4/80(+) mphs')	333	1376
('C-227921_BALBc-1_X01_Y01_359_72', 'Cell Type: F4/80(+) mphs')	359	1928
('C-227996_BALBc-1_X01_Y01_364_273', 'Cell Type: F4/80(+) mphs')	364	1727
('C-228032_BALBc-1_X01_Y01_366_942', 'Cell Type: F4/80(+) mphs')	366	1058
('C-228078_BALBc-1_X01_Y01_37_250', 'Cell Type: F4/80(+) mphs')	37	1750
('C-228152_BALBc-1_X01_Y01_373_726', 'Cell Type: F4/80(+) mphs')	373	1274
('C-228216_BALBc-1_X01_Y01_377_897', 'Cell Type: F4/80(+) mphs')	377	1103
('C-228293_BALBc-1_X01_Y01_382_255', 'Cell Type: F4/80(+) mphs')	382	1745
('C-228447_BALBc-1_X01_Y01_391_111', 'Cell Type: F4/80(+) mphs')	391	1889
('C-228476_BALBc-1_X01_Y01_392_644', 'Cell Type: F4/80(+) mphs')	392	1356
('C-228492_BALBc-1_X01_Y01_393_61', 'Cell Type: F4/80(+) mphs')	393	1939
('C-228546_BALBc-1_X01_Y01_396_947', 'Cell Type: F4/80(+) mphs')	396	1053
('C-228630_BALBc-1_X01_Y01_400_498', 'Cell Type: F4/80(+) mphs')	400	1502
('C-228657_BALBc-1_X01_Y01_402_162', 'Cell Type: F4/80(+) mphs')	402	1838
('C-228695_BALBc-1_X01_Y01_403_896', 'Cell Type: F4/80(+) mphs')	403	1104
('C-228844_BALBc-1_X01_Y01_413_16', 'Cell Type: F4/80(+) mphs')	413	1984
('C-228876_BALBc-1_X01_Y01_415_220', 'Cell Type: F4/80(+) mphs')	415	1780
('C-229092_BALBc-1_X01_Y01_427_132', 'Cell Type: F4/80(+) mphs')	427	1868
('C-229324_BALBc-1_X01_Y01_44_645', 'Cell Type: F4/80(+) mphs')	44	1355
('C-229357_BALBc-1_X01_Y01_441_918', 'Cell Type: F4/80(+) mphs')	441	1082
('C-229532_BALBc-1_X01_Y01_453_156', 'Cell Type: F4/80(+) mphs')	453	1844
('C-229546_BALBc-1_X01_Y01_454_522', 'Cell Type: F4/80(+) mphs')	454	1478
('C-229716_BALBc-1_X01_Y01_463_771', 'Cell Type: F4/80(+) mphs')	463	1229
('C-229753_BALBc-1_X01_Y01_465_671', 'Cell Type: F4/80(+) mphs')	465	1329
('C-229951_BALBc-1_X01_Y01_476_178', 'Cell Type: F4/80(+) mphs')	476	1822
('C-230056_BALBc-1_X01_Y01_481_215', 'Cell Type: F4/80(+) mphs')	481	1785
('C-230066_BALBc-1_X01_Y01_481_884', 'Cell Type: F4/80(+) mphs')	481	1116
('C-230170_BALBc-1_X01_Y01_488_387', 'Cell Type: F4/80(+) mphs')	488	1613
('C-230200_BALBc-1_X01_Y01_49_49', 'Cell Type: F4/80(+) mphs')	49	1951
('C-230326_BALBc-1_X01_Y01_495_802', 'Cell Type: F4/80(+) mphs')	495	1198
('C-230352_BALBc-1_X01_Y01_497_689', 'Cell Type: F4/80(+) mphs')	497	1311
('C-230591_BALBc-1_X01_Y01_51_860', 'Cell Type: F4/80(+) mphs')	51	1140
('C-230687_BALBc-1_X01_Y01_515_467', 'Cell Type: F4/80(+) mphs')	515	1533
('C-230721_BALBc-1_X01_Y01_517_120', 'Cell Type: F4/80(+) mphs')	517	1880
('C-230789_BALBc-1_X01_Y01_52_527', 'Cell Type: F4/80(+) mphs')	52	1473
('C-230841_BALBc-1_X01_Y01_522_981', 'Cell Type: F4/80(+) mphs')	522	1019
('C-231078_BALBc-1_X01_Y01_536_270', 'Cell Type: F4/80(+) mphs')	536	1730
('C-231085_BALBc-1_X01_Y01_536_625', 'Cell Type: F4/80(+) mphs')	536	1375
('C-231118_BALBc-1_X01_Y01_538_329', 'Cell Type: F4/80(+) mphs')	538	1671
('C-231529_BALBc-1_X01_Y01_56_456', 'Cell Type: F4/80(+) mphs')	56	1544
('C-231562_BALBc-1_X01_Y01_562_201', 'Cell Type: F4/80(+) mphs')	562	1799
('C-231696_BALBc-1_X01_Y01_569_996', 'Cell Type: F4/80(+) mphs')	569	1004
('C-231857_BALBc-1_X01_Y01_579_117', 'Cell Type: F4/80(+) mphs')	579	1883
('C-231893_BALBc-1_X01_Y01_580_294', 'Cell Type: F4/80(+) mphs')	580	1706
('C-231922_BALBc-1_X01_Y01_582_190', 'Cell Type: F4/80(+) mphs')	582	1810
('C-232112_BALBc-1_X01_Y01_592_12', 'Cell Type: F4/80(+) mphs')	592	1988
('C-232888_BALBc-1_X01_Y01_632_557', 'Cell Type: F4/80(+) mphs')	632	1443
('C-233061_BALBc-1_X01_Y01_641_122', 'Cell Type: F4/80(+) mphs')	641	1878
('C-233110_BALBc-1_X01_Y01_643_882', 'Cell Type: F4/80(+) mphs')	643	1118
('C-233371_BALBc-1_X01_Y01_658_660', 'Cell Type: F4/80(+) mphs')	658	1340
('C-233545_BALBc-1_X01_Y01_668_870', 'Cell Type: F4/80(+) mphs')	668	1130
('C-233614_BALBc-1_X01_Y01_671_994', 'Cell Type: F4/80(+) mphs')	671	1006
('C-233961_BALBc-1_X01_Y01_69_605', 'Cell Type: F4/80(+) mphs')	69	1395
('C-233964_BALBc-1_X01_Y01_690_242', 'Cell Type: F4/80(+) mphs')	690	1758
('C-234136_BALBc-1_X01_Y01_699_284', 'Cell Type: F4/80(+) mphs')	699	1716
('C-234344_BALBc-1_X01_Y01_709_157', 'Cell Type: F4/80(+) mphs')	709	1843
('C-234372_BALBc-1_X01_Y01_71_538', 'Cell Type: F4/80(+) mphs')	71	1462
('C-234564_BALBc-1_X01_Y01_72_969', 'Cell Type: F4/80(+) mphs')	72	1031
('C-235013_BALBc-1_X01_Y01_742_663', 'Cell Type: F4/80(+) mphs')	742	1337
('C-235048_BALBc-1_X01_Y01_744_622', 'Cell Type: F4/80(+) mphs')	744	1378
('C-235079_BALBc-1_X01_Y01_746_174', 'Cell Type: F4/80(+) mphs')	746	1826
('C-235228_BALBc-1_X01_Y01_752_907', 'Cell Type: F4/80(+) mphs')	752	1093
('C-235234_BALBc-1_X01_Y01_753_46', 'Cell Type: F4/80(+) mphs')	753	1954
('C-235338_BALBc-1_X01_Y01_759_453', 'Cell Type: F4/80(+) mphs')	759	1547
('C-235437_BALBc-1_X01_Y01_763_580', 'Cell Type: F4/80(+) mphs')	763	1420
('C-235649_BALBc-1_X01_Y01_775_339', 'Cell Type: F4/80(+) mphs')	775	1661
('C-235681_BALBc-1_X01_Y01_777_204', 'Cell Type: F4/80(+) mphs')	777	1796
('C-235775_BALBc-1_X01_Y01_781_921', 'Cell Type: F4/80(+) mphs')	781	1079
('C-235803_BALBc-1_X01_Y01_783_638', 'Cell Type: F4/80(+) mphs')	783	1362
('C-235873_BALBc-1_X01_Y01_787_105', 'Cell Type: F4/80(+) mphs')	787	1895
('C-235910_BALBc-1_X01_Y01_789_458', 'Cell Type: F4/80(+) mphs')	789	1542
('C-235938_BALBc-1_X01_Y01_79_901', 'Cell Type: F4/80(+) mphs')	79	1099
('C-236003_BALBc-1_X01_Y01_793_547', 'Cell Type: F4/80(+) mphs')	793	1453
('C-236246_BALBc-1_X01_Y01_805_703', 'Cell Type: F4/80(+) mphs')	805	1297
('C-236251_BALBc-1_X01_Y01_805_949', 'Cell Type: F4/80(+) mphs')	805	1051
('C-236318_BALBc-1_X01_Y01_809_743', 'Cell Type: F4/80(+) mphs')	809	1257
('C-236380_BALBc-1_X01_Y01_812_73', 'Cell Type: F4/80(+) mphs')	812	1927
('C-236429_BALBc-1_X01_Y01_814_775', 'Cell Type: F4/80(+) mphs')	814	1225
('C-236455_BALBc-1_X01_Y01_816_135', 'Cell Type: F4/80(+) mphs')	816	1865
('C-236512_BALBc-1_X01_Y01_819_318', 'Cell Type: F4/80(+) mphs')	819	1682
('C-236628_BALBc-1_X01_Y01_825_508', 'Cell Type: F4/80(+) mphs')	825	1492
('C-236638_BALBc-1_X01_Y01_826_265', 'Cell Type: F4/80(+) mphs')	826	1735
('C-236669_BALBc-1_X01_Y01_828_200', 'Cell Type: F4/80(+) mphs')	828	1800
('C-236717_BALBc-1_X01_Y01_830_408', 'Cell Type: F4/80(+) mphs')	830	1592
('C-236932_BALBc-1_X01_Y01_841_106', 'Cell Type: F4/80(+) mphs')	841	1894
('C-237001_BALBc-1_X01_Y01_845_585', 'Cell Type: F4/80(+) mphs')	845	1415
('C-237111_BALBc-1_X01_Y01_851_998', 'Cell Type: F4/80(+) mphs')	851	1002
('C-237272_BALBc-1_X01_Y01_86_636', 'Cell Type: F4/80(+) mphs')	86	1364
('C-237350_BALBc-1_X01_Y01_863_590', 'Cell Type: F4/80(+) mphs')	863	1410
('C-237466_BALBc-1_X01_Y01_87_688', 'Cell Type: F4/80(+) mphs')	87	1312
('C-237477_BALBc-1_X01_Y01_870_417', 'Cell Type: F4/80(+) mphs')	870	1583
('C-237484_BALBc-1_X01_Y01_870_668', 'Cell Type: F4/80(+) mphs')	870	1332
('C-237486_BALBc-1_X01_Y01_870_766', 'Cell Type: F4/80(+) mphs')	870	1234
('C-237648_BALBc-1_X01_Y01_880_528', 'Cell Type: F4/80(+) mphs')	880	1472
('C-237879_BALBc-1_X01_Y01_892_315', 'Cell Type: F4/80(+) mphs')	892	1685
('C-237958_BALBc-1_X01_Y01_896_227', 'Cell Type: F4/80(+) mphs')	896	1773
('C-237985_BALBc-1_X01_Y01_897_413', 'Cell Type: F4/80(+) mphs')	897	1587
('C-238154_BALBc-1_X01_Y01_905_815', 'Cell Type: F4/80(+) mphs')	905	1185
('C-238157_BALBc-1_X01_Y01_905_961', 'Cell Type: F4/80(+) mphs')	905	1039
('C-238288_BALBc-1_X01_Y01_913_300', 'Cell Type: F4/80(+) mphs')	913	1700
('C-238332_BALBc-1_X01_Y01_916_179', 'Cell Type: F4/80(+) mphs')	916	1821
('C-238458_BALBc-1_X01_Y01_923_281', 'Cell Type: F4/80(+) mphs')	923	1719
('C-238670_BALBc-1_X01_Y01_935_486', 'Cell Type: F4/80(+) mphs')	935	1514
('C-238814_BALBc-1_X01_Y01_944_332', 'Cell Type: F4/80(+) mphs')	944	1668
('C-238883_BALBc-1_X01_Y01_949_190', 'Cell Type: F4/80(+) mphs')	949	1810
('C-238922_BALBc-1_X01_Y01_950_706', 'Cell Type: F4/80(+) mphs')	950	1294
('C-238961_BALBc-1_X01_Y01_952_864', 'Cell Type: F4/80(+) mphs')	952	1136
('C-239008_BALBc-1_X01_Y01_955_643', 'Cell Type: F4/80(+) mphs')	955	1357
('C-239079_BALBc-1_X01_Y01_96_204', 'Cell Type: F4/80(+) mphs')	96	1796
('C-239307_BALBc-1_X01_Y01_973_39', 'Cell Type: F4/80(+) mphs')	973	1961
('C-239333_BALBc-1_X01_Y01_975_586', 'Cell Type: F4/80(+) mphs')	975	1414
('C-239421_BALBc-1_X01_Y01_980_210', 'Cell Type: F4/80(+) mphs')	980	1790
('C-239572_BALBc-1_X01_Y01_989_393', 'Cell Type: F4/80(+) mphs')	989	1607
('C-239582_BALBc-1_X01_Y01_99_297', 'Cell Type: F4/80(+) mphs')	99	1703
('C-239619_BALBc-1_X01_Y01_990_701', 'Cell Type: F4/80(+) mphs')	990	1299
('C-239718_BALBc-1_X01_Y01_998_13', 'Cell Type: F4/80(+) mphs')	998	1987
('C-239731_BALBc-1_X01_Y01_998_827', 'Cell Type: F4/80(+) mphs')	998	1173
('C-243267_BALBc-1_X01_Y01_1024_325', 'Cell Type: granulocytes')	1024	1675
('C-243290_BALBc-1_X01_Y01_1033_311', 'Cell Type: granulocytes')	1033	1689
('C-243301_BALBc-1_X01_Y01_1036_328', 'Cell Type: granulocytes')	1036	1672
('C-243324_BALBc-1_X01_Y01_105_83', 'Cell Type: granulocytes')	105	1917
('C-243424_BALBc-1_X01_Y01_1101_116', 'Cell Type: granulocytes')	1101	1884
('C-243541_BALBc-1_X01_Y01_1174_566', 'Cell Type: granulocytes')	1174	1434
('C-243641_BALBc-1_X01_Y01_1247_300', 'Cell Type: granulocytes')	1247	1700
('C-243674_BALBc-1_X01_Y01_1264_696', 'Cell Type: granulocytes')	1264	1304
('C-243772_BALBc-1_X01_Y01_1316_409', 'Cell Type: granulocytes')	1316	1591
('C-244097_BALBc-1_X01_Y01_238_932', 'Cell Type: granulocytes')	238	1068
('C-244258_BALBc-1_X01_Y01_31_938', 'Cell Type: granulocytes')	31	1062
('C-244322_BALBc-1_X01_Y01_33_950', 'Cell Type: granulocytes')	33	1050
('C-244360_BALBc-1_X01_Y01_345_951', 'Cell Type: granulocytes')	345	1049
('C-244448_BALBc-1_X01_Y01_382_780', 'Cell Type: granulocytes')	382	1220
('C-244566_BALBc-1_X01_Y01_441_849', 'Cell Type: granulocytes')	441	1151
('C-245865_BALBc-1_X01_Y01_1046_969', 'Cell Type: marginal zone mphs')	1046	1031
('C-246322_BALBc-1_X01_Y01_1193_117', 'Cell Type: marginal zone mphs')	1193	1883
('C-247457_BALBc-1_X01_Y01_368_339', 'Cell Type: marginal zone mphs')	368	1661
('C-248474_BALBc-1_X01_Y01_741_600', 'Cell Type: marginal zone mphs')	741	1400
('C-249005_BALBc-1_X01_Y01_899_518', 'Cell Type: marginal zone mphs')	899	1482
('C-249385_BALBc-1_X01_Y01_12_444', 'Cell Type: megakaryocytes')	12	1556
('C-249389_BALBc-1_X01_Y01_1221_133', 'Cell Type: megakaryocytes')	1221	1867
('C-249628_BALBc-1_X01_Y01_1041_160', 'Cell Type: NK cells')	1041	1840
('C-249665_BALBc-1_X01_Y01_1060_434', 'Cell Type: NK cells')	1060	1566
('C-249669_BALBc-1_X01_Y01_1060_908', 'Cell Type: NK cells')	1060	1092
('C-249727_BALBc-1_X01_Y01_1103_540', 'Cell Type: NK cells')	1103	1460
('C-249770_BALBc-1_X01_Y01_1133_768', 'Cell Type: NK cells')	1133	1232
('C-250203_BALBc-1_X01_Y01_19_691', 'Cell Type: NK cells')	19	1309
('C-250221_BALBc-1_X01_Y01_204_952', 'Cell Type: NK cells')	204	1048
('C-250246_BALBc-1_X01_Y01_22_909', 'Cell Type: NK cells')	22	1091
('C-250260_BALBc-1_X01_Y01_233_113', 'Cell Type: NK cells')	233	1887
('C-250277_BALBc-1_X01_Y01_242_784', 'Cell Type: NK cells')	242	1216
('C-250486_BALBc-1_X01_Y01_378_966', 'Cell Type: NK cells')	378	1034
