	X.X	Y.Y
('C-20505_BALBc-1_X01_Y01_1230_928', 'Cell Type: B cells')	1230	1072
('C-20820_BALBc-1_X01_Y01_1234_752', 'Cell Type: B cells')	1234	1248
('C-20832_BALBc-1_X01_Y01_1234_952', 'Cell Type: B cells')	1234	1048
('C-21409_BALBc-1_X01_Y01_1241_777', 'Cell Type: B cells')	1241	1223
('C-21558_BALBc-1_X01_Y01_1243_856', 'Cell Type: B cells')	1243	1144
('C-21876_BALBc-1_X01_Y01_1248_400', 'Cell Type: B cells')	1248	1600
('C-22222_BALBc-1_X01_Y01_1251_971', 'Cell Type: B cells')	1251	1029
('C-22283_BALBc-1_X01_Y01_1252_608', 'Cell Type: B cells')	1252	1392
('C-22370_BALBc-1_X01_Y01_1253_930', 'Cell Type: B cells')	1253	1070
('C-22471_BALBc-1_X01_Y01_1255_479', 'Cell Type: B cells')	1255	1521
('C-22920_BALBc-1_X01_Y01_1260_756', 'Cell Type: B cells')	1260	1244
('C-23720_BALBc-1_X01_Y01_1271_214', 'Cell Type: B cells')	1271	1786
('C-23748_BALBc-1_X01_Y01_1271_543', 'Cell Type: B cells')	1271	1457
('C-23973_BALBc-1_X01_Y01_1274_422', 'Cell Type: B cells')	1274	1578
('C-24535_BALBc-1_X01_Y01_1281_350', 'Cell Type: B cells')	1281	1650
('C-24998_BALBc-1_X01_Y01_1287_867', 'Cell Type: B cells')	1287	1133
('C-25430_BALBc-1_X01_Y01_1292_741', 'Cell Type: B cells')	1292	1259
('C-25531_BALBc-1_X01_Y01_1293_912', 'Cell Type: B cells')	1293	1088
('C-25534_BALBc-1_X01_Y01_1293_926', 'Cell Type: B cells')	1293	1074
('C-25729_BALBc-1_X01_Y01_1296_850', 'Cell Type: B cells')	1296	1150
('C-25779_BALBc-1_X01_Y01_1297_522', 'Cell Type: B cells')	1297	1478
('C-26533_BALBc-1_X01_Y01_1306_107', 'Cell Type: B cells')	1306	1893
('C-27126_BALBc-1_X01_Y01_1313_325', 'Cell Type: B cells')	1313	1675
('C-27291_BALBc-1_X01_Y01_1315_624', 'Cell Type: B cells')	1315	1376
('C-27496_BALBc-1_X01_Y01_1318_358', 'Cell Type: B cells')	1318	1642
('C-27658_BALBc-1_X01_Y01_132_746', 'Cell Type: B cells')	132	1254
('C-27856_BALBc-1_X01_Y01_1322_539', 'Cell Type: B cells')	1322	1461
('C-27868_BALBc-1_X01_Y01_1322_716', 'Cell Type: B cells')	1322	1284
('C-28466_BALBc-1_X01_Y01_1329_929', 'Cell Type: B cells')	1329	1071
('C-28618_BALBc-1_X01_Y01_1331_1005', 'Cell Type: B cells')	1331	995
('C-29005_BALBc-1_X01_Y01_1336_646', 'Cell Type: B cells')	1336	1354
