,tissue,histology,sub-histology,gender,Custom
BEN,lung,carcinoma,NS,M,Unknown
COLO320,large_intestine,carcinoma,adenocarcinoma,F,Unknown
RPMI8402,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,F,Unknown
SUDHL1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,M,Unknown
P12ICHIKAWA,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
BFTC905,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
BFTC909,kidney,carcinoma,NS,M,Unknown
MHHES1,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,M,Unknown
JVM3,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,M,Unknown
NOMO1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,F,Unknown
NCIH727,lung,carcinoid-endocrine_tumour,NS,F,Unknown
HS343T,breast,carcinoma,NS,F,Unknown
HCC2935,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
HS888T,bone,osteosarcoma,NS,M,Unknown
MKN45,stomach,carcinoma,diffuse_adenocarcinoma,F,Unknown
8505C,thyroid,carcinoma,anaplastic_carcinoma,F,Unknown
KU1919,urinary_tract,carcinoma,transitional_cell_carcinoma,M,Unknown
KCL22,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,F,Unknown
CADOES1,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,F,Unknown
S117,soft_tissue,sarcoma,NS,F,Unknown
EM2,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,F,Unknown
COLO677,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
OPM2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
CAL62,thyroid,carcinoma,anaplastic_carcinoma,F,Unknown
LCLC103H,lung,carcinoma,large_cell_carcinoma,M,Unknown
JURKAT,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
697,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
MHHCALL2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,F,Unknown
M07E,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,F,Unknown
L428,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,F,Unknown
MOLT16,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,F,Unknown
NB4,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,F,Unknown
LCLC97TM1,lung,carcinoma,large_cell_carcinoma,M,Unknown
2313287,stomach,carcinoma,adenocarcinoma,M,Unknown
BHT101,thyroid,carcinoma,anaplastic_carcinoma,F,Unknown
JVM2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,F,Unknown
CAL51,breast,carcinoma,NS,F,Unknown
L363,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
KMH2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,M,Unknown
SIMA,autonomic_ganglia,neuroblastoma,NS,M,Unknown
NUDUL1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,B_cell_lymphoma_unspecified,M,Unknown
BC3C,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
SUDHL6,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
KARPAS620,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
REC1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,mantle_cell_lymphoma,M,Unknown
OCIM1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,NA,Unknown
MEC1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,M,Unknown
SIGM5,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
SUDHL5,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,F,Unknown
BCPAP,thyroid,carcinoma,papillary_carcinoma,F,Unknown
639V,urinary_tract,carcinoma,transitional_cell_carcinoma,M,Unknown
CL11,large_intestine,carcinoma,adenocarcinoma,NA,Unknown
TT2609C02,thyroid,carcinoma,follicular_carcinoma,M,Unknown
MEC2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,M,Unknown
CL34,large_intestine,carcinoma,adenocarcinoma,F,Unknown
RCHACV,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,F,Unknown
CAL120,breast,carcinoma,NS,F,Unknown
647V,urinary_tract,carcinoma,transitional_cell_carcinoma,M,Unknown
RH18,soft_tissue,rhabdomyosarcoma,alveolar,NA,Unknown
MOLM16,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,F,Unknown
F36P,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
EJM,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
WSUDLCL2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
JIMT1,breast,carcinoma,ductal_carcinoma,F,Unknown
ML1,thyroid,carcinoma,follicular_carcinoma,F,Unknown
AMO1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
MOLP8,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
MOLP2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
SCC25,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
UT7,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
MHHNB11,autonomic_ganglia,neuroblastoma,NS,M,Unknown
HCC1806,breast,carcinoma,ductal_carcinoma,F,Unknown
GRANTA519,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,mantle_cell_lymphoma,F,Unknown
MONOMAC6,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
MKN7,stomach,carcinoma,tubular_adenocarcinoma,M,Unknown
SW1710,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
